SDMA,Total connection ,Areas,Packages,District,ward number,E1,N1,E2,N2,E3,N3,E4,N4
1.1.1,425,"Narayanhiti Palace Area, Naxal,Kamaladi area",1,kathmandu,1,334215.229,3067075.662,335397.372,3066969.299,335219.85,3066486.133,33927.785,3066616.848
1.1.2,339,"Kantipath,Jamal, Darbarmarg,Laldurbar",1,kathmandu,1,33927.785,3066616.848,334566.276,3066606.793,334567.443,3066177.626,333809.146,3066073.38
1.1.3,486,"Naxal Bhagawati, Kamal pokhari Area",1,kathmandu,1,334566.276,3066606.793,335227.976,3066494.399,335135.372,3066147.794,334570.541,3066241.666
1.2.1,614,"Trichandra college area,Kamaladi, ",1,kathmandu,part- 28 & 1,33815.206,3066071.757,334983.643,3066184.187,334640.743,3065720.636,333779.258,30655839.17
1.2.2,788,"Charkhal, Dilibazar, Dhobidhara",1,kathmandu,Part-1 & 30,334983.643,3066184.187,335136,3066146.616,335027.56,3065681.24,334640.743,3065720.636
1.2.3,143,"Tudikhel, Bhrikuti Mandav, Bagbazaar",1,kathmandu,28,334000.71,3065778.077,334637.828,3065722.515,334532.49,3065040.726,334062.806,30655154.374
1.3.1,"1,447","Sankata, Pako, Newroad, Sundhara, Bhotebahal",1,kathmandu,22,333125.491,3065533.558,333738.267,3065476.408,33679.529,3065109.695,333147.716,3065087.469
1.3.2,"1,835","Dharara, Basantapur, Humat, Jhonche",1,kathmandu,23 7 Part- 20,332941.34,3065541.495,33128.666,3065497.045,333130.253,3065043.019,332658.769,3065273.423
1.4.1,"1,432","Central jail, Sundhara,",1,kathmandu,"Part- 21,22 & 11",333097.714,3065080.343,333681.121,3065110.77,333791.188,3064441.37,332932.349,3064753.582
1.4.2,"1,648","Jaisidebal, Lagan, Teku",1,kathmandu,Part- 21 & 12,332658.769,3065273.423,333097.714,3065080.343,332932.349,3064753.582,332655.859,3064901.396
2.1.1,860,"East- south of Bhatbhateni, Handigaun",1,kathmandu,Part-30,335527.385,3066405.699,336032.74,3066387.179,336030.095,3065998.24,335135.801,3066149.053
2.1.2,654,"Tangal, Dhobikhola, Kalopul",1,kathmandu,Part-5,335978,3067030.335,336293.516,3067109.181,336063.328,3066397.979,335823.615,3066466.242
2.1.3,793,"Bhagwatibahal, Naxal, Police HQ",1,kathmandu,Part-5,335471.19,3067190.143,335978,3067030.335,335823.615,3066466.242,335393.402,3066917.093
2.1.4,288,North of Jain mandir to Rato pul road,1,kathmandu,"Part-1, 30",335391.814,3066915.505,335625.177,3066628.167,335487.065,3066269.391,335182.264,3066312.254
2.2.1,750,"Charkhal, Dillibazaar",1,kathmandu,Part-30,335681.534,3065994.356,336028.139,3065997.002,335938.18,3065396.397,335600.836,3065516.783
2.2.2,"1,666",Gyaneshwore,1,kathmandu,Part-30,335136,3066146.616,335681.534,3065994.356,335600.836,3065516.783,335027.56,3065681.24
2.2.3,"1,975",Maitidevi,1,kathmandu,Part- 29,335101.46,3065686.116,335958.712,3065387.666,335223.698,3065014.602,334753.797,3065152.715
2.2.4,592,Ratopul setopul,1,kathmandu,Part- 29,334637.909,3065722.629,335101.46,3065686.116,334753.797,3065152.715,334564.884,3065192.403
2.3.1,1102,"Gausala-Ratopul, Oldbaneswor -Setopul",1,kathmandu,Part-9,336029.686,3065995.746,336655.295,3065916.9,336347.849,3065238.506,335938.18,3065396.397
2.4.1,507,"Gausala- ringroad, Pinglasthan, Tilganga",1,kathmandu,Part-9,336655.295,3065916.9,337256.006,3065694.775,337016.161,306494.675,336347.849,3065238.506
2.4.2,475,,1,,,,,,,,,,
2.4.3,711,,1,,,,,,,,,,
6.1.1,"1,535","Mangalbazar, Lagankhel ",1,Lalitpur,"Part- 12, 6, 17",334789.894,3062060.471,335375.616,3061504.613,335265.549,3061419.946,334632.003,3061681.62
6.1.2,446,"Lagankhel, Army Barrak, Mahalaxmisthan",1,Lalitpur,Part- 5 & 15,334461.81,3061572.082,334742.269,3060537.559,334549.123,3063447.601,334120.497,3060833.893
6.1.3,"1,320","Gwarkhu, Sundhara, Industrial Area",1,Lalitpur,"Part- 19, 12, 6,17 & 15",334475.039,3061767.874,335488.395,3061415.977,334742.269,3060532.267,334461.81,3061574.728
6.2.1,"2,519","Pulchwok, Natole",1,Lalitpur,"Part- 3,4,5,16 & 19",333961.746,3062558.89,334789.894,3062060.471,334632.003,3061681.62,333715.683,3062074.791
6.2.2,862,"katakuna, Jawakhel",1,Lalitpur,"Part- 5, 13 & 14",333652.183,3062088.02,333911.475,3062016.583,333961.746,3060990.527,333237.206,3061564.541
6.2.3,934,"Manbhawan, Patan Hospital",1,Lalitpur,Part-5,333911.475,3062016.583,334470.938,3061770.035,334126.979,3060841.345,333961.746,3060990.527
3.1.1,"1,694","Baneshwore height, Devkota marg, Om sai marga, Prabachan Marga,Prachin Marga, ",2,kathmandu,Part-10,335956.957,3065388.062,336338.84,3065235.485,336044.622,3064528.517,335327.071,3064447.025
3.1.2,"1,842","Thapagaun, Bijulibazaar, Bhakti Thapa Sadak, Bogati Marga, Chakhu Bakhu Marg, Devkota Sadak, Lakhechaur,  New Baneswor,",2,kathmandu,Part-10,335327.071,3064447.025,336044.622,3064528.517,335865.499,3063794.67,335170.966,3064045.822
3.2.1,"1,328","Old Baneswor, Bhimsen Thapa, Devkota Sadak, Dharanidhar, Jankuti Marga, Kasturi Marga",2,kathmandu,Part-31,336338.84,3065235.485,336728.704,3065021.475,336751.855,3064545.224,336083.781,3064584.912
3.2.2,"1,481","Mid Baneswor, Bhimsengola Marg, North of Parliament house baneswor",2,kathmandu,Part-31,336083.781,3064584.912,336751.855,3064545.224,336388.052,3063658.868,335865.499,3063794.467
3.3.1,"2,332","Baburam Acharya sadak, Bagmati Corridor, Bhimsengola, Katyani marg, Kumud Devkota Marga, Prakriti Marga, Prayag Marg, Santinagar ",2,kathmandu,Part-31,336745.24,3065047.933,337443.08,3064412.932,336705.553,3063599.337,336384.745,3063658.868
3.4.1,890,"Bagmati Corridor, Gairigau, Dhaulagiri Marg, Mayur Galli, Pranami Galli, Raja Janak Marg, Shakti Binayak Marga, Sinamangal, Tara Marga, Tinkune",2,kathmandu,Part-9,337041.707,3064936.588,337762.698,3064539.712,337216.993,3063540.908,336746.96,3063568.557
3.5.1,850,"Airport,Baburam Acharya sadak. , Kalimati dol, Khahare Marg, Pashupati Marg, Shambhu Marga, Sinamangal , Tilganga",2,kathmandu,Part-9,337275.07,3065226.969,337537.008,3065330.156,337762.698,3064539.712,336960.215,3064951.801
3.5.2,383,"Airport Way, Bagmati Corridor, Sinamangal, Tilganga, ",2,kathmandu,Part-9,337272.424,3065732.324,337428.528,3065742.907,337537.008,3065330.156,337275.07,3065226.969
4.1.1,555,Singhdarbar,2,kathmandu,Part- 29,334579.445,3065189.133,335235.613,3065017.154,335087.446,3064342.465,334436.57,3064559.423
4.1.2,,"Anamnagar, Ghatakulo area, Dhobi ghola corridor",2,kathmandu,Part- 29,335235.613,3065017.154,335383.78,3065040.966,335211.8,3064276.319,335087.446,3064342.465
4.2.1,"1,082","CDO Office, Babarmahal ",2,kathmandu,Part- 11,334436.57,3064559.423,335198.571,3064252.506,335127.134,3064069.943,334418.049,3064464.173
4.2.2,,thapathali Area,,kathmandu,Part- 11,,,,,,,,
4.2.3,,thapathali Babarmahal Area,,kathmandu,Part- 11,,,,,,,,
5.2.1,1593,"Pembahal,Mikha bahal,Pulchowk,Krishna Galli,Patan Dhokha",2,,,,,,,,,,
5.2.2,1798,"Alko Nagar,Sankhamul Plotting, Chkupat, Kumbeswor,Ikhachhen Galli, Sankhamul,Money Marg, Aaluko hiti,Manidole,Ekhachhen Galli,Chakupat",2,,,,,,,,,,
5.2.3,724,"Jwagal, Kupandol, Pulchowk, UN Park, Chakupat, Pulchowk, Jwagal, Patan dhokha",2,,,,,,,,,,
7.2.1,"1,259","Kuslechaur, Manang Galli, Bhudeganesh Galli, Indrayani Marg",2,,,,,,,,,,
7.2.2,"1,124","Kaldhara, Ganesh Raj Marg, Paknajol, Shorakhutte, Link Road",2,,,,,,,,,,
7.2.3,528,"Keshar Mahal, Bhagawan Bahal, Amrit Marg, Thamel",2,,,,,,,,,,
7.3.1,913,"Ganesh Galli, Gangalal marg, Dukucha Galli, Burankhya, Ekhapokhari, Kumari & Ghat Galli ",2,,,,,,,,,,
7.3.2,"1,226","Gangalal Marg, Na gal , Chittadhar Marg, Bangemudha, Dhkha Baha, Tyouda, Talachi, Kwabahal, Jyatha,Jawabahal, Thamel, J.P. Marg",2,,,,,,,,,,
7.3.3,"1,356","Jyatha, Thamel, Kantipatha, Thamel marga, Keshar mahal, Inbahal, Kunayatwa, Jamal,  Ashan, Siddhidas marg",2,,,,,,,,,,
7.4.1,"1,788","Ramghat, Paropakar, Kankeshwori, Damai tole, Yogbirsing marg",2,,,,,,,,,,
7.4.2,821,"Ashok Binayak, Ramghat, Indrashabha marg, Layaku Chuka",2,,,,,,,,,,
7.4.3,"3,334","Gangalal Marg, Itumbahal, Taha Nani, Yogbir Singh Marg,  Bhedasing",2,,,,,,,,,,
7.4.4,521,"Ashan, Jamal, Bhotaihiti, Chittadhar Marg, Bir Hospital",2,,,,,,,,,,
8.1.1,692,"Bhanimandal, Jawalakhel, zoo",3,,,,,,,,,,
9.1.1,805,Narephat,3,,,,,,,,,,
9.1.2,"1,025",Narephat,3,,,,,,,,,,
9.1.3,546,Narephat,3,,,,,,,,,,
9.2.1,718,Dovan area Koteswor,3,,,,,,,,,,
9.2.2,606,Koteswor Mahadevsthan Area,3,,,,,,,,,,
9.2.3,646,Phulbari Area,3,,,,,,,,,,
9.2.4,367,"SOS, Chautarphi Marg area",3,,,,,,,,,,
9.2.5,432,Police station Koteswor (North) area,3,,,,,,,,,,
9.2.6,616,Tinkune area (South of highway),3,,,,,,,,,,
9.2.7,475,"Munibhairab, Peris danda area Koteswor",3,,,,,,,,,,
10.1.1,478,Dallu,3,,,,,,,,,,
10.2.1,1102,Kumdole,3,,,,,,,,,,
10.2.2,1167,Shobabhagawati,3,,,,,,,,,,
1.5.1,262,"Maitighar, Ramshahpath, Sahidgate, Tripureswor",4,,,,,,,,,,
1.5.2,357,South of Tripureswor-Teku road,4,,,,,,,,,,
1.5.3,386,"Teku,  Bagmati corridor",4,,,,,,,,,,
5.1.1,565,"Gwarkhu, Chyasal",4,,,,,,,,,,
5.1.2,"2,600","Sundhara, Shankhamul",4,,,,,,,,,,
5.1.3,"2,100",Patan Darbar squate,4,,,,,,,,,,
8.2.1,"1,185",Bhanimandal,4,,,,,,,,,,
8.2.2,"2,150",Jhamsikhel/inside ringroad,4,,,,,,,,,,
7.1.1,"1,556",Khusibu town planning,4,,,,,,,,,,
7.1.2,787,Khusibu town planning,4,,,,,,,,,,
11.1.1,"1,800",Kalimati/Bishnumati River side,4,,,,,,,,,,
11.1.2,"2,107",Ravi Bhavan/Between Kalimati And Kalanki,4,,,,,,,,,,
11.2.1,"1,550",Kalanki,4,,,,,,,,,,
11.2.2,"1,800",Link Marg/Kuleshwor,4,,,,,,,,,,
8.1.2,0,,,,,,,,,,,,
4.2.3,0,,,,,,,,,,,,
8.1.3,0,,,,,,,,,,,,
4.2.2,0,,,,,,,,,,,,
9.5.1,0,,,,,,,,,,,,
4.1.2,0,,,,,,,,,,,,
